ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2005-01-01,356.38353216,423.0490019098589,653.5996428049532,356.38353216,356.38353216,188.64783047612673,188.64783047612673,188.64783047612673,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535220070923,1.4397535220070923,1.4397535220070923,-7.819749509880339,-7.819749509880339,-7.819749509880339,0.0,0.0,0.0,545.0313626361267
2005-01-02,356.3267421582654,429.6029454536691,651.8642657813594,356.3267421582654,356.3267421582654,180.6464291835879,180.6464291835879,180.6464291835879,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841307344,-6.365411841307344,-6.365411841307344,-8.015985439104758,-8.015985439104758,-8.015985439104758,0.0,0.0,0.0,536.9731713418533
2005-01-03,356.26995215653085,443.246925136365,664.9166664403141,356.26995215653085,356.26995215653085,195.935341180437,195.935341180437,195.935341180437,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235168576,8.874583235168576,8.874583235168576,-7.967068518731586,-7.967068518731586,-7.967068518731586,0.0,0.0,0.0,552.2052933369679
2005-01-04,356.21316215479624,422.97797454722456,650.7057780594466,356.21316215479624,356.21316215479624,179.30184300264327,179.30184300264327,179.30184300264327,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421677954,-8.036205421677954,-8.036205421677954,-7.689778039678803,-7.689778039678803,-7.689778039678803,0.0,0.0,0.0,535.5150051574395
2005-01-05,356.1563721530617,425.4553052892016,659.3497772626736,356.1563721530617,356.1563721530617,189.95396475743587,189.95396475743587,189.95396475743587,195.02782646400001,195.02782646400001,195.02782646400001,2.133249505953848,2.133249505953848,2.133249505953848,-7.207111212517974,-7.207111212517974,-7.207111212517974,0.0,0.0,0.0,546.1103369104976
2005-01-06,356.0995821513271,432.6686778064345,655.6333077907183,356.0995821513271,356.0995821513271,188.92378972021575,188.92378972021575,188.92378972021575,195.02782646400001,195.02782646400001,195.02782646400001,0.4434938033775251,0.4434938033775251,0.4434938033775251,-6.547530547161749,-6.547530547161749,-6.547530547161749,0.0,0.0,0.0,545.0233718715428
2005-01-07,356.04279214959246,433.28117321978937,654.2851685370442,356.04279214959246,356.04279214959246,190.79429473294866,190.79429473294866,190.79429473294866,195.02782646400001,195.02782646400001,195.02782646400001,1.5105371965278356,1.5105371965278356,1.5105371965278356,-5.744068927579177,-5.744068927579177,-5.744068927579177,0.0,0.0,0.0,546.8370868825411
2005-01-08,355.9860021478579,435.7935800837608,662.0955255392486,355.9860021478579,355.9860021478579,191.63426166218335,191.63426166218335,191.63426166218335,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535220147988,1.4397535220147988,1.4397535220147988,-4.833318323831464,-4.833318323831464,-4.833318323831464,0.0,0.0,0.0,547.6202638100413
2005-01-09,355.92921214612335,426.1362977726333,657.6789164423687,355.92921214612335,355.92921214612335,184.80808350129453,184.80808350129453,184.80808350129453,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841284256,-6.365411841284256,-6.365411841284256,-3.854331121421212,-3.854331121421212,-3.854331121421212,0.0,0.0,0.0,540.7372956474179
2005-01-10,355.87242214438874,447.984724040438,670.3466865546462,355.87242214438874,355.87242214438874,201.05494443026907,201.05494443026907,201.05494443026907,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235169048,8.874583235169048,8.874583235169048,-2.8474652688999815,-2.8474652688999815,-2.8474652688999815,0.0,0.0,0.0,556.9273665746578
2005-01-11,355.8156321426542,426.5045006895556,658.687950867768,355.8156321426542,355.8156321426542,185.13841525140157,185.13841525140157,185.13841525140157,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421668203,-8.036205421668203,-8.036205421668203,-1.8532057909302226,-1.8532057909302226,-1.8532057909302226,0.0,0.0,0.0,540.9540473940558
2005-01-12,355.75884214091957,433.8098144389108,667.7648382848695,355.75884214091957,355.75884214091957,196.25008031857777,196.25008031857777,196.25008031857777,195.02782646400001,195.02782646400001,195.02782646400001,2.13324950594834,2.13324950594834,2.13324950594834,-0.9109956513705295,-0.9109956513705295,-0.9109956513705295,0.0,0.0,0.0,552.0089224594974
2005-02-01,354.62304210622796,406.0239189660744,636.1078348955382,354.62304210622796,354.62304210622796,173.48213222679587,173.48213222679587,173.48213222679587,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421665187,-8.036205421665187,-8.036205421665187,-13.509488815538935,-13.509488815538935,-13.509488815538935,0.0,0.0,0.0,528.1051743330238
2005-02-02,354.5662521044934,424.9978438969138,648.5267923495875,354.5662521044934,354.5662521044934,182.627540563414,182.627540563414,182.627540563414,195.02782646400001,195.02782646400001,195.02782646400001,2.1332495059602063,2.1332495059602063,2.1332495059602063,-14.533535406546207,-14.533535406546207,-14.533535406546207,0.0,0.0,0.0,537.1937926679074
2005-02-03,354.5094621027588,426.7826232383166,647.2623829077784,354.5094621027588,354.5094621027588,180.09480392348084,180.09480392348084,180.09480392348084,195.02782646400001,195.02782646400001,195.02782646400001,0.4434938033303733,0.4434938033303733,0.4434938033303733,-15.376516343849543,-15.376516343849543,-15.376516343849543,0.0,0.0,0.0,534.6042660262397
2005-02-04,354.45267210102423,426.8484326458148,646.3077306310261,354.45267210102423,354.45267210102423,180.52039512636495,180.52039512636495,180.52039512636495,195.02782646400001,195.02782646400001,195.02782646400001,1.510537196488152,1.510537196488152,1.510537196488152,-16.017968534123217,-16.017968534123217,-16.017968534123217,0.0,0.0,0.0,534.9730672273892
2005-02-05,354.3958820992896,420.6849920848352,649.0223060260107,354.3958820992896,354.3958820992896,180.02450896360992,180.02450896360992,180.02450896360992,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535220089483,1.4397535220089483,1.4397535220089483,-16.443071022399035,-16.443071022399035,-16.443071022399035,0.0,0.0,0.0,534.4203910628995
2005-02-06,354.33909209755507,412.8654736186414,633.2200906809543,354.33909209755507,354.33909209755507,172.01936035016777,172.01936035016777,172.01936035016777,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841277875,-6.365411841277875,-6.365411841277875,-16.643054272554348,-16.643054272554348,-16.643054272554348,0.0,0.0,0.0,526.3584524477228
2005-02-07,354.2823020958205,434.853366209618,656.7606227883906,354.2823020958205,354.2823020958205,187.28697410696984,187.28697410696984,187.28697410696984,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235164756,8.874583235164756,8.874583235164756,-16.6154355921949,-16.6154355921949,-16.6154355921949,0.0,0.0,0.0,541.5692762027903
2005-02-08,354.2255120940859,412.9342463565048,629.328788007801,354.2255120940859,354.2255120940859,170.6275461475233,170.6275461475233,170.6275461475233,195.02782646400001,195.02782646400001,195.02782646400001,-8.03620542166467,-8.03620542166467,-8.03620542166467,-16.364074894812042,-16.364074894812042,-16.364074894812042,0.0,0.0,0.0,524.8530582416092
